Course Title,Professors,Maximum Class Size,Initial Enrollment,Ending Enrollment
ACCT*1220 Intro Financial Accounting (0.5 Credits),"Dhaliwal, S, Lassou, P",1098,987,951
ACCT*2230 Management Accounting (0.5 Credits),"Jagoda, K, Evans, R",1060,850,803
ACCT*2290 Accounting Syst. & Data Analy (0.5 Credits),"Hayes, B",90,43,42
ACCT*3280 Auditing I (0.5 Credits),"Zavitz, C",125,122,114
ACCT*3330 Intermed Financial Account I (0.5 Credits),"Alyea, L",180,125,93
ACCT*3340 Intermed Financial Account II (0.5 Credits),"Scott, S",148,136,106
ACCT*3350 Taxation (0.5 Credits),"Dhaliwal, S",133,128,117
ACCT*4220 Advanced Financial Accounting (0.5 Credits),"Baker, R",138,136,112
ACCT*4230 Advanced Management Accounting (0.5 Credits),"Jagoda, K",100,31,25
ACCT*4270 Auditing II (0.5 Credits),"Zavitz, C",100,100,100
ACCT*4350 Income Taxation II (0.5 Credits),"Dhaliwal, S",100,90,82
AGR*1110 Intro to Agri-Food Systems (1 Credits),"Raizada, M, Lee, E",165,165,163
AGR*2320 Soils in Agroecosystems (0.5 Credits),"Lauzon, J",147,132,132
AGR*2350 Animal Prod Sys & Industry (0.5 Credits),"Wood, K",350,345,337
AGR*2470 Intro to Plant Agriculture (0.5 Credits),"McDonald, M, Nasielski, J",180,163,155
AGR*3010 Spec. Studies in Agr. Sci. I (0.5 Credits),"Tardif, F",10,8,8
AGR*3450 Research Methods (0.5 Credits),"Nasielski, J",36,34,33
AGR*4010 Spec. Studies in Agr. Sci. II (0.5 Credits),"Robinson, A",10,4,5
AGR*4020 Precision Agriculture (0.5 Credits),"Sulik, J",35,35,35
AGR*4450 Research Project I (0.5 Credits),"Kalischuk, M",15,11,11
AGR*4460 Research Project II (1 Credits),"Kalischuk, M",5,1,1
ANSC*2340 Structure of Farm Animals (0.5 Credits),"Duarte, M",65,63,62
ANSC*3050 Aquaculture: Advanced Issues (0.5 Credits),"Huyben, D",94,81,79
ANSC*3080 Agriculture Animal Physiology (0.5 Credits),"Bedecarrats, G",320,319,316
ANSC*3090 Principle of Animal Behaviour (0.5 Credits),"Harlander, A",250,209,187
ANSC*3120 Animal Nutrition (0.5 Credits),"Bureau, D",290,287,284
ANSC*3180 Wildlife Nutrition (0.5 Credits),,250,208,199
ANSC*4010 Animal Welfare Judging & Eval (0.5 Credits),"Widowski, T",20,20,20
ANSC*4040 Digital Tech Animal Production (0.5 Credits),"St-Pierre, J",29,14,10
ANSC*4050 Biotechnology in Animal Sci (0.5 Credits),,76,58,53
ANSC*4230 Challenges & Opps Dairy Catt (0.5 Credits),"DeVries, T",24,24,24
ANSC*4270 Dairy Cattle Nutrition (0.5 Credits),"Steele, M",60,59,59
ANSC*4280 Poultry Nutrition (0.5 Credits),,35,35,32
ANSC*4290 Swine Nutrition (0.5 Credits),,30,21,19
ANSC*4700 Research in Animal Biology I (0.5 Credits),"Fan, M",40,27,26
ANSC*4710 Research in Animal Biology II (0.5 Credits),"Fan, M",10,0,0
ANTH*1120 Biological Anthropology (0.5 Credits),"Finnis, E",182,172,157
ANTH*1150 Introduction to Anthropology (0.5 Credits),"McIlwraith, T, Sneyd, L",1100,1093,1049
ANTH*2230 Regional Ethnography (0.5 Credits),"Kawano, S",110,98,92
ANTH*3650 Indig Peoples of Pre-Canada (0.5 Credits),"McIlwraith, T",40,40,39
ANTH*3690 Engaging Anthro Theory (0.5 Credits),"Gagne, K",35,34,33
ANTH*3950 Special Projects in Anthro (0.5 Credits),,5,0,0
ANTH*4300 Anthropological Issues (0.5 Credits),"Kawano, S",12,5,4
ANTH*4550 Anthropology of Health (0.5 Credits),"Finnis, E",15,11,10
ANTH*4880 Special Proj. in Anthropology (0.5 Credits),,5,3,3
ANTH*4890 Special Proj. in Anthropology (0.5 Credits),,5,0,0
ANTH*4900 Honours Anthropology Thesis I (0.5 Credits),,5,1,1
ANTH*4910 Honours Anthropology Thesis II (0.5 Credits),,5,0,0
ARTH*1510 Art Historical Studies I (0.5 Credits),"Marner, D",200,200,184
ARTH*2060 Indigenous Arts in the Americ (0.5 Credits),"McCabe, S",72,52,45
ARTH*2150 Art & Archaeology of Greece (0.5 Credits),"Sherwood, A",25,22,11
ARTH*2220 The Visual Arts Today (0.5 Credits),"Douglas, S",100,77,71
ARTH*2540 Medieval Art (0.5 Credits),"Marner, D",72,72,66
ARTH*3340 Renaissance & Baroque Art (0.5 Credits),"Hickson, S",80,78,73
ARTH*3600 Topics in the Long 18th Cent. (0.5 Credits),"Smylitopoulos, C",71,31,29
ARTH*3620 Museum Studies (0.5 Credits),"Douglas, S",66,66,54
ARTH*4350 Art & Visual Culture V (1 Credits),"Smylitopoulos, C",17,16,16
ARTH*4600 Individual Study - Art History (0.5 Credits),,20,0,0
ARTH*4800 Experiential Learning (0.5 Credits),,20,1,1
ASCI*1110 Society and Inquiry I (0.5 Credits),"Souchen, A",150,142,137
ASCI*2050 Uses of Knowledge (0.5 Credits),"Iqbal, S",120,93,91
ASCI*3200 Issues in Public Health (0.5 Credits),"Malloy-Weir, L",55,45,45
ASCI*3700 Independent Stds in Arts/Sci (0.5 Credits),,5,0,0
ASCI*4020 Topics in Arts & Sci Research (0.5 Credits),"Bruce, D",40,32,32
ASCI*4030 Topics in Arts & Sci Research (0.5 Credits),"Iqbal, S",40,23,23
ASCI*4700 Independent Stds in Arts/Sci (0.5 Credits),"Winters, B",9,2,2
ASCI*4710 Independent Stds in Arts/Sci (0.5 Credits),"Benessaiah, K",5,1,1
BIOC*2580 Introduction to Biochemistry (0.5 Credits),"Wijekoon, E",973,973,969
BIOC*3560 Structure & Function in Bioche (0.5 Credits),"Sanders, S",525,499,489
BIOC*3570 Analytical Biochemistry (0.75 Credits),"Graether, S",85,81,77
BIOC*4050 Protein & Nucleic Acid Struc (0.5 Credits),"Kimber, M",80,80,72
BIOC*4520 Metabolic Processes (0.5 Credits),"Akhtar, T",65,58,56
BIOL*1020 Introduction to Biology (0.5 Credits),"Van Raay, T",105,92,83
BIOL*1050 Biology of Managed Ecosystems (0.5 Credits),"Robinson, A, Gebre, M",450,425,416
BIOL*1070 Discovering Biodiversity (0.5 Credits),"Bartley, T",666,660,638
BIOL*1080 Biological Concepts of Health (0.5 Credits),,943,930,918
BIOL*1090 Intro to Molecular & Cell Biol (0.5 Credits),"Lu, R",1126,1106,1069
BIOL*1500 Humans in the Natural World (0.5 Credits),"Jacobs, S",298,296,282
BIOL*2060 Ecology (0.5 Credits),"Bartley, T",320,320,320
BIOL*2400 Evolution (0.5 Credits),"Boulding, E",360,360,360
BIOL*3010 Lab & Field Work in Ecology (0.5 Credits),"Caruso, C",85,85,85
BIOL*3020 Population Genetics (0.5 Credits),"Griswold, C",185,177,158
BIOL*3300 Applied Bioinformatics (0.5 Credits),"Lukens, L",55,47,36
BIOL*3450 Introduction to Aquatic Enviro (0.5 Credits),"Ackerman, J",225,171,153
BIOL*3660 Internship in Bio Sci (0.5 Credits),,30,28,28
BIOL*3670 Intro to Wildlife Rehab (0.5 Credits),"Cox, S",215,215,215
BIOL*4020 Integrative Problems in BIOS (1 Credits),"Grunspan, D",45,45,45
BIOL*4110 Ecological Methods (1 Credits),"Bernhardt, J",60,32,32
BIOL*4150 Wildlife Conservation & Manage (0.5 Credits),"Webber, Q",100,100,92
BIOL*4350 Limnology of Nat & Pltd Waters (0.5 Credits),"Bartley, T",56,56,56
BIOL*4410 Field Ecology (0.75 Credits),"Norris, D",40,15,15
BIOL*4700 Field Biology (0.5 Credits),,24,15,16
BIOM*2000 Concepts in Human Physiology (0.5 Credits),"Bartlewski, P",120,111,110
BIOM*3000 Functional Mammalian Neuro (0.5 Credits),"Saleh, T",140,140,137
BIOM*3010 Biomedical Comparative Anat (0.5 Credits),"Vickaryous, M",200,200,192
BIOM*3090 Principles of Pharmacology (0.5 Credits),"Favetta, L",160,160,160
BIOM*3200 Biomedical Physiology (1 Credits),"Favetta, L",220,220,220
BIOM*3210 Critical Think in Health Sci (0.5 Credits),"Hanna, B",110,110,110
BIOM*4070 Biomedical Histology (0.5 Credits),"Viloria-Petit, A",100,99,92
BIOM*4090 Pharmacology (0.5 Credits),"Lepage, S",120,80,72
BIOM*4300 Biomedical Communications (0.5 Credits),"Bartlewski, P",100,79,77
BIOM*4500 Lit-Based Rsch in Biom. Sci. (0.5 Credits),"Petrik, J",25,3,3
BIOM*4510 Research in Biomedical Sci. (1 Credits),"Petrik, J",30,3,3
BIOM*4521 Research in Biomedical Sci. (1 Credits),"Petrik, J",60,42,43
BIOM*4522 Research in Biomedical Sci. (1 Credits),"Petrik, J",40,1,1
BLCK*1000 Introduction to Black Studies (0.5 Credits),"George, R",109,108,100
BLCK*2000 Black Canadian History (0.5 Credits),"Mccorkindale, D",55,52,47
BLCK*3000 Theorising Race and Racism (0.5 Credits),"George, R",25,10,9
BOT*2100 Life Strategies of Plants (0.5 Credits),"Mathur, J",196,188,180
BOT*3050 Plant Functional Ecology (0.5 Credits),"Maherali, H",104,104,99
BUS*4550 Applied Business Project I (0.5 Credits),"Zavitz, C",200,61,60
BUS*4560 Applied Business Project II (0.5 Credits),"Jamal, A",1,0,6
CHEM*1040 General Chemistry I (0.5 Credits),"Houmam, A, Watanabe, L, Auzanneau, F",3193,3158,2965
CHEM*1050 General Chemistry II (0.5 Credits),"Monteiro, M",336,331,313
CHEM*1060 Introductory Chemistry (0.5 Credits),"Bolton, K",150,148,130
CHEM*2060 Structure and Bonding (0.5 Credits),"Preuss, K",98,93,86
CHEM*2400 Analytical Chemistry I (0.75 Credits),"Gabryelski, W",36,34,29
CHEM*2480 Analytical Chemistry I (0.5 Credits),"Gabryelski, W",50,50,45
